color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
color,justin chadwick,141,8324748.0,"['biography', 'drama', 'history']",Mandela: Long Walk to Freedom,2013,english,Uk,35000000.0,7.1,"Terry Pheto,Fana Mokoena,Tony Kgoroge",13000
,oliver stone,141,47307550.0,"['crime', 'drama', 'thriller']",Savages,2012,english,Usa,45000000.0,6.5,"Demián Bichir,Shea Whigham,Gary Stretch",28000
color,david dobkin,141,47105085.0,"['crime', 'drama']",The Judge,2014,english,Usa,50000000.0,7.4,"Robert Downey Jr.,Robert Duvall,Leighton Meester",47000
color,ryan murphy,140,80574010.0,"['drama', 'romance']",Eat Pray Love,2010,english,Usa,60000000.0,5.7,"James Franco,Julia Roberts,Billy Crudup",26000
color,james wan,140,350034110.0,"['action', 'crime', 'thriller']",Furious 7,2015,english,Usa,190000000.0,7.2,"Jason Statham,Paul Walker,Vin Diesel",94000
color,derek cianfrance,140,21383298.0,"['crime', 'drama', 'thriller']",The Place Beyond the Pines,2012,english,Usa,15000000.0,7.3,"Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza",47000
color,gavin o'connor,140,13651662.0,"['drama', 'sport']",Warrior,2011,english,Usa,25000000.0,8.2,"Tom Hardy,Frank Grillo,Kevin Dunn",77000
color,,139,150832203.0,"['adventure', 'mystery', 'sci-fi']",Divergent,2014,english,Usa,85000000.0,6.7,"Kate Winslet,Theo James,Mekhi Phifer",49000
color,gary ross,139,20389967.0,"['action', 'biography', 'drama', 'history', 'war']",Free State of Jones,2016,english,Usa,50000000.0,6.7,"Matthew McConaughey,Donald Watkins,Jessica Collins",10000
color,tate taylor,139,30513940.0,"['biography', 'drama', 'music']",Get on Up,2014,english,Usa,30000000.0,6.9,"Tika Sumpter,Josh Hopkins,Aunjanue Ellis",11000
,terrence malick,139,13303319.0,"['drama', 'fantasy']",The Tree of Life,2011,english,Usa,32000000.0,6.7,"Brad Pitt,Tye Sheridan,Fiona Shaw",39000
color,,138,150117807.0,"['crime', 'drama']",American Hustle,2013,english,Usa,40000000.0,7.3,"Jennifer Lawrence,Christian Bale,Bradley Cooper",63000
,robert zemeckis,138,93749203.0,"['drama', 'thriller']",Flight,2012,english,Usa,31000000.0,7.3,"Denzel Washington,Bruce Greenwood,Nadine Velazquez",64000
color,darren aronofsky,138,101160529.0,"['action', 'adventure', 'drama']",Noah,2014,english,Usa,125000000.0,5.8,"Anthony Hopkins,Emma Watson,Logan Lerman",71000
color,martin scorsese,138,127968405.0,"['mystery', 'thriller']",Shutter Island,2010,english,Usa,80000000.0,8.1,"Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto",53000
color,ridley scott,138,16969390.0,"['crime', 'drama', 'thriller']",The Counselor,2013,english,Usa,25000000.0,5.3,"Michael Fassbender,Brad Pitt,Goran Visnjic",24000
,james mangold,138,132550960.0,"['action', 'adventure', 'sci-fi', 'thriller']",The Wolverine,2013,english,Usa,120000000.0,6.7,"Hugh Jackman,Tao Okamoto,Rila Fukushima",68000
color,daniel espinosa,137,1206135.0,"['crime', 'drama', 'thriller']",Child 44,205,english,Czech Republic,50000000.0,6.4,"Tom Hardy,Fares Fares,Michael Nardone",18000
